t,t_sec,Tamb,PV1,PV2,PV3,SP,PV_prom
Mon Jan 13 17:00:52 2020,0.000,26.464,27.839,27.842,27.765,0.000,27.802
Mon Jan 13 17:00:52 2020,0.800,26.464,27.839,27.842,27.765,0.000,27.802
Mon Jan 13 17:00:53 2020,1.616,26.464,27.839,27.842,27.765,0.000,27.802
Mon Jan 13 17:00:54 2020,2.416,26.464,27.839,27.842,27.765,0.000,27.802
Mon Jan 13 17:00:55 2020,3.232,26.465,27.839,27.841,27.764,0.000,27.802
Mon Jan 13 17:00:56 2020,4.032,26.465,27.839,27.841,27.764,0.000,27.802
Mon Jan 13 17:00:56 2020,4.848,26.466,27.838,27.841,27.763,0.000,27.802
Mon Jan 13 17:00:57 2020,5.648,26.465,27.839,27.841,27.764,0.000,27.802
Mon Jan 13 17:00:58 2020,6.464,26.465,27.839,27.841,27.764,0.000,27.802
Mon Jan 13 17:00:59 2020,7.280,26.465,27.838,27.841,27.764,0.000,27.802
Mon Jan 13 17:01:00 2020,8.080,26.463,27.838,27.842,27.763,0.000,27.802
Mon Jan 13 17:01:00 2020,8.896,26.460,27.838,27.841,27.764,0.000,27.802
Mon Jan 13 17:01:01 2020,9.698,26.460,27.838,27.841,27.764,0.000,27.802
Mon Jan 13 17:01:02 2020,10.512,26.457,27.837,27.841,27.764,0.000,27.802
Mon Jan 13 17:01:03 2020,11.312,26.454,27.837,27.840,27.763,0.000,27.802
Mon Jan 13 17:01:04 2020,12.128,26.451,27.837,27.841,27.764,0.000,27.802
Mon Jan 13 17:01:04 2020,12.928,26.451,27.837,27.841,27.764,0.000,27.802
Mon Jan 13 17:01:05 2020,13.744,26.449,27.838,27.840,27.763,0.000,27.802
Mon Jan 13 17:01:06 2020,14.544,26.448,27.837,27.840,27.763,0.000,27.802
Mon Jan 13 17:01:07 2020,15.360,26.448,27.837,27.840,27.763,0.000,27.802
Mon Jan 13 17:01:08 2020,16.160,26.449,27.837,27.840,27.762,0.000,27.802
Mon Jan 13 17:01:09 2020,16.976,26.448,27.836,27.840,27.762,0.000,27.802
Mon Jan 13 17:01:09 2020,17.792,26.446,27.837,27.839,27.763,0.000,27.802
Mon Jan 13 17:01:10 2020,18.592,26.446,27.837,27.839,27.763,0.000,27.802
Mon Jan 13 17:01:11 2020,19.408,26.445,27.837,27.840,27.763,0.000,27.802
Mon Jan 13 17:01:12 2020,20.209,26.443,27.836,27.839,27.763,0.000,27.802
Mon Jan 13 17:01:13 2020,21.024,26.442,27.836,27.839,27.762,0.000,27.802
Mon Jan 13 17:01:13 2020,21.824,26.442,27.836,27.839,27.762,0.000,27.802
Mon Jan 13 17:01:14 2020,22.640,26.440,27.835,27.839,27.762,0.000,27.802
Mon Jan 13 17:01:15 2020,23.440,26.440,27.837,27.838,27.762,0.000,27.802
Mon Jan 13 17:01:16 2020,24.256,26.440,27.837,27.838,27.762,0.000,27.802
Mon Jan 13 17:01:17 2020,25.056,26.438,27.836,27.838,27.762,0.000,27.802
Mon Jan 13 17:01:17 2020,25.872,26.436,27.835,27.838,27.762,0.000,27.802
Mon Jan 13 17:01:18 2020,26.672,26.432,27.836,27.838,27.762,0.000,27.802
Mon Jan 13 17:01:19 2020,27.488,26.432,27.836,27.838,27.762,0.000,27.802
Mon Jan 13 17:01:20 2020,28.303,26.430,27.835,27.837,27.761,0.000,27.802
Mon Jan 13 17:01:21 2020,29.104,26.427,27.835,27.838,27.762,0.000,27.802
Mon Jan 13 17:01:21 2020,29.919,26.427,27.835,27.838,27.762,0.000,27.802
Mon Jan 13 17:01:22 2020,30.720,26.423,27.835,27.838,27.761,0.000,27.802
Mon Jan 13 17:01:23 2020,31.535,26.421,27.835,27.837,27.761,0.000,27.802
Mon Jan 13 17:01:24 2020,32.336,26.419,27.835,27.837,27.762,0.000,27.802
Mon Jan 13 17:01:25 2020,33.151,26.419,27.835,27.837,27.762,0.000,27.802
Mon Jan 13 17:01:26 2020,33.952,26.416,27.835,27.837,27.761,0.000,27.802
Mon Jan 13 17:01:26 2020,34.767,26.415,27.834,27.838,27.761,0.000,27.802
Mon Jan 13 17:01:27 2020,35.568,26.413,27.834,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:28 2020,36.383,26.413,27.834,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:29 2020,37.184,26.411,27.834,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:30 2020,37.999,26.409,27.834,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:30 2020,38.816,26.409,27.835,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:31 2020,39.615,26.406,27.835,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:32 2020,40.432,26.403,27.833,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:33 2020,41.231,26.401,27.833,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:34 2020,42.048,26.401,27.833,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:34 2020,42.847,26.398,27.833,27.837,27.760,0.000,27.802
Mon Jan 13 17:01:35 2020,43.664,26.396,27.833,27.836,27.759,0.000,27.802
Mon Jan 13 17:01:36 2020,44.463,26.396,27.834,27.836,27.759,0.000,27.802
Mon Jan 13 17:01:37 2020,45.280,26.396,27.834,27.836,27.759,0.000,27.802
Mon Jan 13 17:01:38 2020,46.079,26.396,27.833,27.836,27.759,0.000,27.802
Mon Jan 13 17:01:38 2020,46.896,26.395,27.833,27.836,27.759,0.000,27.802
Mon Jan 13 17:01:39 2020,47.696,26.395,27.833,27.836,27.759,0.000,27.802
Mon Jan 13 17:01:40 2020,48.512,26.396,27.833,27.836,27.758,0.000,27.802
Mon Jan 13 17:01:41 2020,49.312,26.396,27.833,27.835,27.759,0.000,27.802
Mon Jan 13 17:01:42 2020,50.128,26.396,27.833,27.835,27.759,0.000,27.802
Mon Jan 13 17:01:43 2020,50.944,26.396,27.833,27.835,27.759,70.000,27.802
Mon Jan 13 17:01:43 2020,51.744,26.397,27.833,27.835,27.758,70.000,27.802
Mon Jan 13 17:01:44 2020,52.560,26.398,27.833,27.835,27.759,70.000,27.802
Mon Jan 13 17:01:45 2020,53.360,26.401,27.832,27.835,27.758,70.000,27.802
Mon Jan 13 17:01:46 2020,54.176,26.401,27.832,27.835,27.758,70.000,27.802
Mon Jan 13 17:01:47 2020,54.976,26.403,27.832,27.835,27.758,70.000,27.802
Mon Jan 13 17:01:47 2020,55.792,26.405,27.832,27.835,27.758,70.000,27.802
Mon Jan 13 17:01:48 2020,56.592,26.405,27.832,27.835,27.758,70.000,27.802
Mon Jan 13 17:01:49 2020,57.408,26.405,27.832,27.834,27.758,70.000,27.802
Mon Jan 13 17:01:50 2020,58.208,26.407,27.832,27.834,27.757,70.000,27.802
Mon Jan 13 17:01:51 2020,59.024,26.409,27.831,27.834,27.758,70.000,27.802
Mon Jan 13 17:01:51 2020,59.824,26.409,27.831,27.834,27.758,70.000,27.802
Mon Jan 13 17:01:52 2020,60.640,26.410,27.831,27.834,27.757,70.000,27.802
Mon Jan 13 17:01:53 2020,61.455,26.411,27.831,27.834,27.757,70.000,27.802
Mon Jan 13 17:01:54 2020,62.256,26.410,27.831,27.834,27.757,70.000,27.802
Mon Jan 13 17:01:55 2020,63.071,26.410,27.831,27.834,27.757,70.000,27.802
Mon Jan 13 17:01:55 2020,63.872,26.409,27.831,27.834,27.757,70.000,27.802
Mon Jan 13 17:01:56 2020,64.687,26.408,27.831,27.833,27.758,70.000,27.802
Mon Jan 13 17:01:57 2020,65.488,26.408,27.831,27.833,27.758,70.000,27.802
Mon Jan 13 17:01:58 2020,66.303,26.407,27.830,27.834,27.757,70.000,27.802
Mon Jan 13 17:01:59 2020,67.104,26.406,27.831,27.833,27.756,70.000,27.802
Mon Jan 13 17:01:59 2020,67.919,26.408,27.830,27.833,27.757,70.000,27.802
Mon Jan 13 17:02:00 2020,68.720,26.408,27.830,27.833,27.757,70.000,27.802
Mon Jan 13 17:02:01 2020,69.535,26.408,27.830,27.834,27.756,70.000,27.802
Mon Jan 13 17:02:02 2020,70.336,26.406,27.831,27.832,27.757,70.000,27.802
Mon Jan 13 17:02:03 2020,71.151,26.407,27.830,27.832,27.755,70.000,27.802
Mon Jan 13 17:02:04 2020,71.967,26.407,27.830,27.832,27.755,70.000,27.802
Mon Jan 13 17:02:04 2020,72.767,26.406,27.830,27.833,27.756,70.000,27.802
Mon Jan 13 17:02:05 2020,73.583,26.404,27.830,27.833,27.756,70.000,27.802
Mon Jan 13 17:02:06 2020,74.383,26.404,27.830,27.833,27.756,70.000,27.802
Mon Jan 13 17:02:07 2020,75.200,26.402,27.829,27.832,27.756,70.000,27.802
Mon Jan 13 17:02:08 2020,75.999,26.400,27.830,27.832,27.756,70.000,27.802
Mon Jan 13 17:02:08 2020,76.816,26.399,27.829,27.832,27.755,70.000,27.802
Mon Jan 13 17:02:09 2020,77.615,26.399,27.829,27.832,27.755,70.000,27.802
Mon Jan 13 17:02:10 2020,78.431,26.399,27.829,27.831,27.756,70.000,27.802
Mon Jan 13 17:02:11 2020,79.231,26.398,27.829,27.832,27.754,70.000,27.802
Mon Jan 13 17:02:12 2020,80.047,26.398,27.829,27.832,27.755,70.000,27.802
Mon Jan 13 17:02:12 2020,80.847,26.398,27.829,27.832,27.755,70.000,27.802
Mon Jan 13 17:02:13 2020,81.663,26.397,27.829,27.832,27.755,70.000,27.802
Mon Jan 13 17:02:14 2020,82.479,26.395,27.829,27.832,27.754,70.000,27.802
Mon Jan 13 17:02:15 2020,83.279,26.395,27.829,27.832,27.754,70.000,27.802
Mon Jan 13 17:02:16 2020,84.095,26.396,27.829,27.832,27.755,70.000,27.802
Mon Jan 13 17:02:16 2020,84.895,26.396,27.828,27.831,27.755,70.000,27.802
Mon Jan 13 17:02:17 2020,85.711,26.394,27.829,27.832,27.755,70.000,27.797
Mon Jan 13 17:02:18 2020,86.511,26.394,27.829,27.832,27.755,70.000,27.797
Mon Jan 13 17:02:19 2020,87.327,26.393,27.828,27.831,27.755,70.000,27.802
Mon Jan 13 17:02:20 2020,88.127,26.391,27.828,27.831,27.755,70.000,27.797
Mon Jan 13 17:02:21 2020,88.943,26.388,27.828,27.830,27.754,70.000,27.797
Mon Jan 13 17:02:21 2020,89.743,26.388,27.828,27.830,27.754,70.000,27.797
Mon Jan 13 17:02:22 2020,90.559,26.386,27.827,27.830,27.754,70.000,27.797
Mon Jan 13 17:02:23 2020,91.359,26.385,27.828,27.831,27.754,70.000,27.797
Mon Jan 13 17:02:24 2020,92.175,26.385,27.828,27.831,27.754,70.000,27.797
